XGB_MAE,XGB_RMSE,XGB_R2,MLP_MAE,MLP_RMSE,MLP_R2,Prophet_MAE,Prophet_RMSE,Prophet_R2,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,XGB_Accuracy,XGB_F1,MLP_Accuracy,MLP_F1,Symbol
0.038605858701328426,0.05159838245326027,-0.0023128532261640355,0.03966773716378614,0.05242328369630489,-0.03461689691152259,0.7410889620744152,0.7554459388116803,-213.85126090058188,0.4494237956578797,0.47385816764749994,-83.53330843938245,0.43425076452599387,0.5667447306791569,0.5015290519877675,0.5434173669467787,ITC
0.053562743114601394,0.07346430203531502,-0.02839573525497463,0.05422285738108826,0.07421491204025607,-0.04951803856122128,2.041741099031618,2.2785561617159362,-988.297765881676,0.3446533532271532,0.4420595244261014,-36.236517517348496,0.6116207951070336,0.7590132827324478,0.5718654434250765,0.6982758620689655,JSWSTEEL
0.04312085388508444,0.058981120902900155,-0.002086800357056884,0.044109324303993884,0.059831032041194214,-0.031174788490725414,0.2500514997149082,0.28169558031089326,-21.858059781888567,0.18685407517329372,0.2257731014711794,-13.68330080410219,0.4892966360856269,0.6570841889117043,0.4434250764525994,0.5991189427312775,KOTAKBANK
0.04037520990300287,0.056846092348313025,-8.414897837472068e-05,0.04020442125738595,0.05704942811326013,-0.007251451383999852,0.2198472375309818,0.23585679757354264,-16.215994146014683,0.35391209250328104,0.4363334767524547,-57.921308179755535,0.4801223241590214,0.6487603305785123,0.4740061162079511,0.6194690265486725,LT
0.040286714527433334,0.05729486435210839,-0.00721232063780497,0.03977551383407413,0.05627351172645556,0.02837725126458912,0.11071243453112434,0.1591492665005434,-6.771393883505095,0.16494301327414207,0.23463525050698394,-15.891808786637839,0.5198776758409785,0.6841046277665996,0.5382262996941896,0.5722379603399433,MARUTI
0.04944053918753952,0.07164113466411573,0.0008804193803535476,0.0490281060449983,0.07003316742182586,0.04522707138346871,1.4685619251680302,1.6354535304757043,-519.6776982513582,0.43225356312573765,0.6032441932700894,-69.84005003943845,0.5412844036697247,0.7023809523809523,0.5137614678899083,0.6680584551148225,M&M
0.028159536014470035,0.040137980856133126,-9.966940172301264e-05,0.02966149664077207,0.040435066834557075,-0.014959169077799483,0.4274874450932138,0.42930679484072515,-113.410995742572,0.3344001493545821,0.3372204558715046,-69.59274390773327,0.5229357798165137,0.6867469879518072,0.5045871559633027,0.547486033519553,NESTLEIND
0.04078418266386019,0.053903674399870184,-0.0018772548423666713,0.040563274054163705,0.05449589312195486,-0.024012659147219395,0.5810130377137177,0.6015574146669466,-123.7762544660294,0.5498187042958197,0.5698317905026824,-110.96212318415135,0.5107033639143731,0.5121951219512195,0.5045871559633027,0.5621621621621622,NTPC
0.0513064843932386,0.06954015396365279,-0.0016075927754184427,0.051123704697243505,0.06997918428550617,-0.014294484577019873,2.187732264339679,2.317963946641217,-1111.857778539441,0.7633617734564576,0.825181119326312,-140.0343421966989,0.5045871559633027,0.6462882096069869,0.5015290519877675,0.5434173669467787,ONGC
0.03512427967440498,0.046843997000216665,-0.00029414356662460506,0.036856417714052424,0.047611177594463636,-0.033326777241757366,0.1685535810871446,0.20080287794578497,-17.380600802970626,0.11959075028588052,0.1446445948332324,-8.537273910997929,0.5688073394495413,0.5052631578947369,0.5779816513761468,0.5868263473053892,POWERGRID
0.04123743577753244,0.05779605615445649,-0.002627816310864395,0.04144963586521911,0.05811800075652909,-0.01382891424674959,0.2798967723193504,0.30125242179140543,-26.23983260331459,0.366434798725211,0.3894550651877441,-44.525849009824825,0.5443425076452599,0.7049504950495049,0.5168195718654435,0.6030150753768844,RELIANCE
